PMID:22293273	<AUTHORS>	<JOURNAL>	<YEAR>	A case report: urinoma as initial presenting sign of bladder malignancy.	 
PMID:22493142	<AUTHORS>	<JOURNAL>	<YEAR>	Ormeloxifene inhibits osteoclast differentiation in parallel to downregulating RANKL-induced ROS generation and suppressing the activation of ERK and JNK in murine RAW264.7 cells.	Ormeloxifene (Orm), a triphenylethylene compound, has been established as a selective estrogen receptor modulator (SERM) that suppresses the ovariectomy-induced bone resorption in rats. However, the precise mechanism underlying the bone-preserving action of Orm remains unclear. In this study, we evaluated the effect of Orm on osteoclast formation induced by receptor activator of nuclear factor kappaB ligand (RANKL) in the murine macrophage cell line RAW264.7. We also explored the mechanism of action of Orm by studying the RANKL-induced signaling pathways required for osteoclast differentiation. We found that Orm inhibited osteoclast formation from murine macrophage RAW264.7 cells induced by RANKL in a dose-dependent manner. Orm was able to abolish RANKL-induced reactive oxygen species (ROS) elevation and inhibited the transcriptional activation of two key RANKL-induced transcription factors namely activator protein-1 (AP-1) and NF-kappaB through mechanisms involving MAPKs. Activation of two MAPKs, i.e. ERK (MAPK1) and JNK (MAPK8), was alleviated by Orm effectively, which subsequently affected the activation of c-Jun and c-Fos, which are the essential components of the AP-1 transcription complex. Taken together, our results demonstrate that Orm potentially inhibits osteoclastogenesis by inhibiting ROS generation and thereby suppressing the activation of ERK1/2 (MAPK3/MAPK1) and JNK (MAPK8) and transcription factors (NF-kappaB and AP-1), which subsequently affect the regulation of osteoclastogenesis. These results provide a possible mechanism of action of Orm in regulating osteoclastogenesis, thereby supporting the beneficial bone-protective effects of this compound.  
PMID:9590363	<AUTHORS>	<JOURNAL>	<YEAR>	Antioxidant enzymes and fatty acid status in erythrocytes of Down's syndrome patients.	The excess of genetic information in patients with Down's syndrome (DS) produces an increase in the catalytic activity of superoxide dismutase (SOD1), an antioxidant enzyme coded on chromosome 21. It has been suggested that an increase in oxidative stress in DS patients may cause adverse effects in the cell membranes through the oxidation of polyunsaturated fatty acids (PUFAs). The aim of this study was to evaluate the cellular antioxidant system by determining the catalytic activity of the SOD1, glutathione peroxidase (GPx), catalase (CAT), and glutathione reductase (GR) enzymes and the concentrations of alpha-tocopherol in red blood cells (RBCs) in a group of 72 DS patients. The profile of fatty acids in the phospholipids of RBC membranes was also evaluated. The activity of the erythrocyte antioxidant enzymes is significantly higher in the DS group than in the control group (SOD1, 635 +/- 70 U/g Hb vs 476 +/- 67 U/g Hb; CAT, 1843 +/- 250 U/g Hb vs 1482 +/- 250 U/g Hb; GPx, 23.2 +/- 5.3 U/g Hb vs 21.5 +/- 3.6 U/g Hb; and GR, 9.32 +/- 1.4 U/g Hb vs 6.9 +/- 1.3 U/g Hb, respectively). No differences were observed in RBC alpha-tocopherol concentrations between the two groups studied. Long-chain n6 PUFA (C20:3n6, C20:4n6) concentrations were increased in DS patients, suggesting enhanced delta-6-desaturase activity. The long-chain n3 PUFA (docosahexenoic acid) does not appear to be affected by increased oxidative stress, probably because of the existence of compensatory antioxidant mechanisms.  
PMID:17106326	<AUTHORS>	<JOURNAL>	<YEAR>	Outcome of a structured surveillance programme in women with a familial predisposition for breast cancer.	We aimed to prospectively evaluate the efficacy of a multi-modal surveillance programme for the early detection of familial breast cancer. Ultrasound, mammography and breast magnetic resonance imaging were evaluated in 413 women who participated in a prospective study with a median follow-up of 2.2 years (range 1-6.75 years). Of these, 49 women carried a BRCA mutation, 203 were at high and 161 at moderate risk. Breast carcinomas diagnosed within the programme were compared with 297 carcinomas previously observed in the risk group and 7894 carcinomas documented in the regional cancer registry within the same time period. Overall, 41 breast carcinomas and no interval carcinoma were detected. The detection rates averaged 107.2/1000 for mutation carriers with highest rates between 20 and 39 years of age, 45.8/1000 for high-risk women with highest rates between 40 and 49 years of age and 23.9/1000 for moderate-risk women with highest rates between 50 and 74 years of age. Overall, 82.8% of the breast carcinomas were node negative and 85.4% pre-invasive or smaller than 2 cm. In comparison, of breast carcinomas detected outside the programme only 47.8% were node negative (P=0.0005) and 43.8% pre-invasive or smaller than 2 cm (P<0.000 01). Of those gathered in the local cancer registry 55.7% were node negative (P=0.004) and 47.6% pre-invasive or smaller than 2 cm (P<0.000 01). Our data indicate that (1) there is a strong correlation between breast cancer detection rates, risk status and age at disease onset and (2) a multi-modal surveillance programme can detect early-stage hereditary breast carcinomas.  
PMID:23761186	<AUTHORS>	<JOURNAL>	<YEAR>	Routine suction of newborns is unnecessary.	 
PMID:5278641	<AUTHORS>	<JOURNAL>	<YEAR>	The 1970s--a new era for dental auxiliaries.	 
PMID:3515815	<AUTHORS>	<JOURNAL>	<YEAR>	[Determination of the value of spectrum analysis of the Doppler signal in the assessment of the carotid artery bifurcation].	A prospective trial was set up in 100 patients, who underwent arteriography of the cerebropetal and cerebral arteries, to determine the value of the direct examination of the Carotid arteries using a continuous wave bidirectionnal Doppler with spectrum frequency analysis. The results of this non-invasive direct technique are compared with the biplane arteriography and with the indirect noninvasive oculoplethysmography (OPG-Gee). The conclusions of this study are that the direct Doppler examination with spectrum frequency-analysis is a very good tool in detecting lesions in the Carotid arteries, and is superior to the indirect OPG-Gee examination, especially in stenoses of 30-69%.  
PMID:16277173	<AUTHORS>	<JOURNAL>	<YEAR>	Glucagon-like peptide 1 (GLP-1) and metabolic diseases.	Glucagon-like peptide-1 (GLP-1) is a gastrointestinal hormone, mainly secreted after meals, which enhances glucose-induced insulin secretion and induces satiety. It has been reported that GLP-1 levels after a mixed meal and after an oral glucose load are reduced in patients with Type 2 diabetes. The reduction of oral glucose-stimulated active GLP-1 levels in patients with Type 2 diabetes has also been observed during euglycemic iperinsulinemic clamp. The reduction of post-prandial circulating active GLP-1 in Type 2 diabetic subjects, as a consequence of chronic hyperglycemia, could contribute to the reduction of early post-prandial insulin secretion; in fact, the administration of GLP-1 receptor antagonists to healthy volunteers elicits both an impairment of meal-induced insulin secretion and an increase of post-prandial glycemia similar to that observed in Type 2 diabetes. GLP-1 is rapidly inactivated by dipeptidyl peptidase IV (DPP-IV), an enzyme produced by endothelial cells in different districts and that circulates in plasma. It is still not clear whether the reduction of mealor oral-glucose stimulated GLP-1 levels in Type 2 diabetic patients is due to impairment of secretion, increase of degradation, or both. The major limitation of using GLP-1 to treat diabetic patients is the short half-life of the native compound. There are now several compounds in various stages of pre-clinical or clinical development for the treatment of Type 2 diabetes that utilize the GLP-1 signaling pathway; these include GLP-1 receptor agonists with extended half-lives, and inhibitors of DPP-IV that increase circulating levels of endogenous, intact and bioactive GLP-1.  
PMID:27654424	<AUTHORS>	<JOURNAL>	<YEAR>	The Antiproliferative Effect of Bevacizumab on Human Tenon Fibroblasts Is Not Mediated by Vascular Endothelial Growth Factor Inhibition.	Vascular endothelial growth factor-signaling in human tenon fibroblasts (hTFs) has recently become a target for antifibrotic treatment in glaucoma filtration surgery. The anti-VEGF antibody bevacizumab (BVC) has been shown to increase filtration bleb size. Given the relatively high concentration of BVC needed to obtain an effect, we investigated whether BVC acts through VEGF inhibition or via non-antigen-dependent ways. Human tenon fibroblast primary cultures were obtained from strabismus surgery subjects. Under low (0.2%) and high (10%) serum conditions, cells were incubated with BVC, ranibizumab (RNB), aflibercept (AFB), or rituximab (RTX) at different concentrations. Total number of cells and number of dead or proliferating (5-bromo-2-deoxy-uridine-positive) cells were assessed after 24 hours. Concentrations of VEGF-A in cell culture media was measured with ELISA. Intracellular IgG was detected with immunostaining and Western blot analysis. In quiescent hTF culture (0.2% serum) the addition of 5 mg/mL BVC induced widespread cell death. Under proliferative conditions (10% serum), BVC reduced the number of proliferating cells. No such effect was observed with 2.5 mg/mL BVC or with 10 mg/mL AFB or 2.5 mg/mL RNB, although they were equally effective in binding free VEGF-A in the culture media. Instead, the CD20 antibody RTX, which did not bind VEGF, induced hTF death and inhibited proliferation in a BVC-comparable fashion. Bevacizumab, AFB, and RTX were detected intracellularly in a concentration-dependent manner. The cell death-inducing and antiproliferative effect of 5 mg/mL BVC appeared not to depend on VEGF inhibition. Our data question a direct role of VEGF for hTF survival and proliferation.  
PMID:4244945	<AUTHORS>	<JOURNAL>	<YEAR>	Pediatric dentistry at the University of Minnesota and affiliated teaching hospitals.	 
PMID:30509011	<AUTHORS>	<JOURNAL>	<YEAR>	Characteristics of Victims and Suspects in Domestic Violence-Related Homicide - Rhode Island Violent Death Reporting System, 2004-2015.	  
PMID:21571936	<AUTHORS>	<JOURNAL>	<YEAR>	Streptomyces panacagri sp. nov., isolated from soil of a ginseng field.	A Gram-positive, spore-forming, aerobic actinomycete, strain Gsoil 519T, was isolated from soil of a ginseng field of Pocheon province in South Korea. The closest phylogenetic relatives were Streptomyces marinus Sp080513GE-26T (97.94 % 16S rRNA gene sequence similarity), Streptomyces albiaxialis NRRL B-24327T (97.84 %), Streptomyces albus subsp. albus DSM 40313T (97.84 %), Streptomyces almquistii NBRC 13015T (97.81 %), Streptomyces gibsonii NBRC 15415T (97.81 %), Streptomyces rangoonensis NBRC 13078T (97.81 %), Streptomyces sodiiphilus YIM 80305T (97.77 %) and Streptomyces flocculus NBRC 13041T (97.67 %). The G+C content of the genomic DNA was 71.8 mol%. The chemotaxonomic data [MK-9(H6) and MK-9(H8) as the major menaquinones; ll-diaminopimelic acid as a component of the cell-wall peptidoglycan; ribose, xylose, mannose and glucose as the major cell-wall sugars; and anteiso-C15:0, iso-C15:0, iso-C17:0, anteiso-C17:0 and C16:0 as the major fatty acids] supported the affiliation of strain Gsoil 519T to the genus Streptomyces. The physiological and biochemical characteristics and the low level of DNA-DNA relatedness differentiated the isolate genotypically and phenotypically from recognized members of the genus Streptomyces. The isolate, therefore, represents a novel species, for which the name Streptomyces panacagri sp. nov. is proposed, with Gsoil 519T (=KCTC 19139T=DSM 41871T) as the type strain.  
PMID:6625173	<AUTHORS>	<JOURNAL>	<YEAR>	Determination of catecholamine sulfoconjugate isomers in normal human urine by use of high-performance liquid chromatography with a photochemical detector.	A method for the determination of catecholamine sulfoconjugate isomers (CA-S) in urine was developed. The photo-induced fluorogenic reaction of CA-S with ethylenediamine reported previously was applied to the postcolumn labeling of HPLC for sensitive and selective detection. Special equipment for the reaction was made with a uv-irradiation lamp and a reaction coil of Teflon tubing inside a temperature-controlled reaction box. Lower determination limits of this system were 1 to 2 pmol. Urine samples pretreated with small ion-exchange resin columns were subjected to HPLC. Peaks corresponding to CA-S were identified quantitatively by two different separation methods. Thus, all six CA-S were first detected in the urine of normal individuals. The excretion rates of dopamine 3-sulfate, dopamine 4-sulfate, norepinephrine 3-sulfate, norepinephrine 4-sulfate, epinephrine 3-sulfate, and epinephrine 4-sulfate were 420 +/- 240, 98 +/- 55, 86 +/- 95, 15 +/- 14, 18 +/- 7, and 3 +/- 1 ng/min (+/- SD), respectively (n = 5).  
PMID:25394395	<AUTHORS>	<JOURNAL>	<YEAR>	Influence of Panax ginseng on the offspring of adult rats exposed to prenatal stress.	The exposure of pregnant females to stress during a critical period of fetal brain development is an environmental risk factor for the development of schizophrenia in adult offspring. Schizophrenia is a group of common mental disorders of unclear origin, affecting approximately 1% of the global population, showing a generally young age at onset. In the present study, a repeated variable stress paradigm was applied to pregnant rats during the final week of gestation. The effects of an extract of Panax ginseng C.A. Meyer (PG) on rats exposed to prenatal stress (PNS) were investigated in terms of behavioral activity and protein expression analyses. In the behavioral tests, grooming behavior in a social interaction test, line-crossing behavior in an open-field test and swimming activity in a forced-swim test were decreased in the rats exposed to PNS compared with the non-stressed offspring; the changes in behavioral activity were reversed upon oral treatment with PG (300 mg/kg). Subsequently, western blot analysis and immunohistochemical analyses of the prefrontal cortex and hippocampus revealed that the downregulation of several neurodevelopmental genes which occurred following exposure to PNS was reversed upon treatment with PG. The current findings demonstrate that the downregulation of several genes following exposure to PNS may affect subsequent behavioral changes, and that these phenomena are reversed following treatment with PG during pregnancy. Our results suggest that oral treatment with PG reduces the incidence of psychiatric disorders, such as schizophrenia.  
PMID:22592575	<AUTHORS>	<JOURNAL>	<YEAR>	Radiology employees' quality of work life.	Quality of work Life (QWL) originates from interactions between employees' needs and relative organizational resources. QWL is aimed to improve and retain employees' satisfaction, productivity and effectiveness of all organizations. A cross-sectional descriptive study was conducted among 15 Tehran University of Medical Sciences. A Cross-Sectional, descriptive study was conducted among 15 Tehran University of Medical Sciences' Hospitals' Radiology Departments' Employees by QWL questionnaire. Respondents were asked to express their attitudes about a range of key factors as the most important issues impacting their QWL. The data was collected and analyzed by SPSS version 15 software. Most of the respondents indicated that they were unsatisfied and very unsatisfied with key factors of their QWL. Comparison of QWL key factors of TUMS radiology employees with the other countries indicated that most of the employees are unsatisfied with their poor QWL factors. We hope, the implications of these findings deliberate to improve QWL within each of TUMS hospitals radiology departments and also be relevant and value to policymakers of healthcare organizations in Iran.  
PMID:10972554	<AUTHORS>	<JOURNAL>	<YEAR>	Positive and negative oral contrast agents for combined abdominal and pelvic helical CT: first iodinated agent and second water.	Combined abdominal and pelvic helical computed tomography (CT) with intravenous contrast media was performed on 19 patients with 400 mL of diluted iodine solution 60 minutes before and 400 mL of water just before CT. The distal small bowel was opacified by the positive contrast agent, and the stomach by the negative contrast agent in all patients. The gastric contents were homogenous, and the density was a mean +/- standard deviation 2.5+/-7.3 HU. The difference between the densities of the gastric contents and of the gastric wall (mean +/- s.d. 80.8+/-20.9 HU) was statistically significant (p<.05). There were no pseudotumors. Thus our protocol, first diluted iodine solution and second water, can be used as a method for the oral administration of contrast agents for combined abdominal and pelvic helical CT with intravenous contrast media.  
PMID:24977335	<AUTHORS>	<JOURNAL>	<YEAR>	Radiofrequency pancreatic ablation and section of the main pancreatic duct does not lead to necrotizing pancreatitis.	The aim of this study was to determine whether radiofrequency ablation (RFA) of the pancreas and subsequent transection of the main pancreatic duct may avoid the risk of both necrotizing pancreatitis and postoperative pancreatic fistula (POPF) formation. Thirty-two rats were subjected to RFA and section of the pancreas over their portal vein. Animals were killed at 3, 7, 15, and 21 days (groups 0-3, respectively). Two additional control groups (sham operation and user manipulation only, respectively) of 15 days of postoperative period were considered. Postoperative complications, histological changes (including morphometric and immunohistochemical analysis), and incidence of POPF were evaluated. A significant increase in serum amylase levels (P < 0.05) on the third postoperative day, which return to baseline levels in the following weeks, was noted in groups 0 to 3. Those groups showed a rapid atrophy of the distal pancreas by apoptosis with no signs of necrotizing pancreatitis or POPF. The distal pancreas in groups 1 to 3 compared with group 0 and control groups showed a significant increase of small islets (<1000 microm). The rapid acinar atrophy of the distal pancreas after RFA and section of the pancreatic ducts in this model does not lead to necrotizing pancreatitis.  
PMID:26701374	<AUTHORS>	<JOURNAL>	<YEAR>	Motility: Hirschsprung disease--laying down a suitable path.	 
PMID:8540433	<AUTHORS>	<JOURNAL>	<YEAR>	Nitric oxide in the developing lung.	 
PMID:25314403	<AUTHORS>	<JOURNAL>	<YEAR>	Ratcheting of Brownian swimmers in periodically corrugated channels: a reduced Fokker-Planck approach.	We consider the motion of self-propelling Brownian particles in two-dimensional periodically corrugated channels. The point-size swimmers propel themselves in a direction which fluctuates by Brownian rotation; in addition, they undergo Brownian motion. The impermeability of the channel boundaries in conjunction with an asymmetry of the unit-cell geometry enables ratcheting, where a nonzero particle current is animated along the channel. This effect is studied here in the continuum limit using a diffusion-advection description of the probability density in a four-dimensional position-orientation space. Specifically, the mean particle velocity is calculated using macrotransport (generalized Taylor-dispersion) theory. This description reveals that the ratcheting mechanism is indirect: swimming gives rise to a biased spatial particle distribution which in turn results in a purely diffusive net current. For a slowly varying channel geometry, the dependence of this current upon the channel geometry and fluid-particle parameters is studied via a long-wave approximation over a reduced two-dimensional space. This allows for a straightforward seminumerical solution. In the limit where both rotational diffusion and swimming are strong, we find an asymptotic approximation to the particle current, scaling inversely with the square of the swimming Peclet number. For a given swimmer-fluid system, this limit is physically realized with increasing unit-cell size.   
PMID:18825876	<AUTHORS>	<JOURNAL>	<YEAR>	Effect of inspiration/expiration on height measurement.	Growth parameters are a powerful screening tool in pediatric care. Accuracy assumes differing importance in different clinical settings. A small error is not clinically significant when height is obtained as a screening tool during annual well child visits. However, when assessing annual growth velocity using shorter interval visits, an error of equal magnitude might influence further management decisions. AIM AND HYPOTHESIS: To explore the effect of inspiration or expiration on height measurement. Our hypothesis was that height measurements obtained in inspiration would be greater than those obtained in expiration or without specific instructions as to status of respiration (unspecified). Heights of 99 individuals 8 years and older were measured in inspiration, expiration and unspecified respiratory status by two pediatric endocrinologists. Patients were measured three times in each mode. The p values were adjusted by Tukey procedure for multiple comparisons among three modes. Height measurement performed in inspiration, expiration or without specific instruction as to breathing (unspecified) did affect height measurement. Mean difference +/- SEM (95% CI) between height obtained in inspiration and expiration was 0.22 +/- 0.03 cm (95% CI: 0.15, 0.29); between inspiration and unspecified 0.31 +/- 0.04 cm (95% CI: 0.22, 0.40); and between expiration and unspecified 0.092 +/- 0.03 cm (95% CI: 0.03, 0.16). Based on these results, we recommend multiple height measurements using uniform technique including inspiratory/expiratory status, especially when calculating 'annualized' height velocity over short intervals.  
PMID:6444819	<AUTHORS>	<JOURNAL>	<YEAR>	Suppressor cell loss and dysfunction in mixed connective tissue disease.	Of 11 patients with untreated mixed connective tissue disease (MCTD) who were studied, all had decreased circulating T gamma cells, and all but one had decreased suppressor cell function of T cells on B cells, determined by a reverse hemolytic plaque-cell assay. Results in 21 normal subjects were significantly, different. Incubation of mononuclear cells from MCTD patients in purified anti-ribonucleoprotein (anti-RNP) IgG resulted in further decrease in their suppressor function. Decrease of T gamma cells and their suppressor function may be due to in vivo penetration of anti-RNP antibody into T gamma cells, causing their deletion.  
PMID:9449436	<AUTHORS>	<JOURNAL>	<YEAR>	Concurrent blockade of beta-adrenergic and muscarinic receptors suppresses synergistically long-term potentiation of population spikes in the rat hippocampal CA1 region.	The muscarinic acetylcholine receptor antagonist scopolamine, but not the beta-adrenoceptor antagonist propranolol or atenolol, suppressed tetanus-induced long-term potentiation (LTP) of population spikes in the rat hippocampal CA1 region. When scopolamine was coapplied with propranolol or atenolol, a synergistic effect in preventing LTP generation was observed. On the other hand, the coapplication of scopolamine and atenolol failed to affect tetanus-induced LTP of field EPSP. These findings suggest that cooperative mechanisms via muscarinic and beta-adrenergic receptor activation might contribute to LTP induction in terms of the EPSP-spike potentiation, i.e., an increase in the excitability of hippocampal CA1 pyramidal cells after tetanic stimulation, but are independent of the tetanus-evoked potentiation of a synaptic component.  
